LEFT,RIGHT
-0.519865, -0.096021
-0.519590, -0.097008
-0.520315, -0.096994
-0.522039, -0.096980
-0.521762, -0.096966
-0.526484, -0.102951
-0.533203, -0.107933
-0.532921, -0.106914
-0.533638, -0.106895
-0.533355, -0.106876
-0.534072, -0.105857
-0.536788, -0.106839
-0.536503, -0.108819
-0.536218, -0.108799
-0.534933, -0.107780
-0.536649, -0.107760
-0.537363, -0.107740
-0.538077, -0.107721
-0.538790, -0.108701
-0.536504, -0.108681
-0.537218, -0.108660
-0.536931, -0.108640
-0.537645, -0.108620
-0.539357, -0.108600
-0.541069, -0.108579
-0.543779, -0.108559
-0.543489, -0.108539
-0.544199, -0.109518
-0.547907, -0.111497
-0.548614, -0.111475
-0.549320, -0.111453
-0.549027, -0.111431
-0.548733, -0.111409
-0.548439, -0.112386
-0.548146, -0.112364
-0.548852, -0.111341
-0.548557, -0.111319
-0.548263, -0.110297
-0.547969, -0.109276
-0.547675, -0.108255
-0.548380, -0.108235
-0.548086, -0.108214
-0.547791, -0.108193
-0.548496, -0.108172
-0.548201, -0.108152
-0.549905, -0.108131
-0.550609, -0.108110
-0.550312, -0.108089
-0.550016, -0.108068
-0.549719, -0.108047
-0.551423, -0.109026
-0.551125, -0.110004
-0.551828, -0.109982
-0.554529, -0.110960
-0.554230, -0.110937
-0.555930, -0.110915
-0.556629, -0.110892
-0.557328, -0.110870
-0.557027, -0.110847
-0.556726, -0.110824
-0.556425, -0.110801
-0.556124, -0.110779
-0.555823, -0.110756
-0.555523, -0.110733
-0.556222, -0.110710
-0.556920, -0.110687
-0.556619, -0.110664
-0.556317, -0.110641
-0.555016, -0.108619
-0.554716, -0.107597
-0.554415, -0.108576
-0.554115, -0.108553
-0.553814, -0.105532
-0.553514, -0.103512
-0.553214, -0.102493
-0.555913, -0.102474
-0.557611, -0.102454
-0.569306, -0.112433
-0.578995, -0.120407
-0.576682, -0.116380
-0.576370, -0.115354
-0.576058, -0.115328
-0.576746, -0.115302
-0.576434, -0.116277
-0.576122, -0.117250
-0.576810, -0.117223
-0.578497, -0.117197
-0.580183, -0.117170
-0.578869, -0.118143
-0.578555, -0.118116
-0.580241, -0.117089
-0.578927, -0.116062
-0.578614, -0.115036
-0.579300, -0.115010
-0.578986, -0.114984
-0.578672, -0.114958
-0.578358, -0.114932
-0.578045, -0.114907
-0.576731, -0.114881
-0.576418, -0.114855
-0.577105, -0.114829
-0.576792, -0.114802
-0.576479, -0.114776
-0.577166, -0.115750
-0.577853, -0.115723
-0.578539, -0.115697
-0.578225, -0.116670
-0.577911, -0.115643
-0.577597, -0.114616
-0.577284, -0.114590
-0.574971, -0.114564
-0.574658, -0.114538
-0.575346, -0.114512
-0.575033, -0.115485
-0.574721, -0.115458
-0.577408, -0.116431
-0.578094, -0.116404
-0.577779, -0.116377
-0.577465, -0.116349
-0.578151, -0.116322
-0.578837, -0.116295
-0.579522, -0.116267
-0.580206, -0.116240
-0.579891, -0.116213
-0.579576, -0.116186
-0.579260, -0.116158
-0.578945, -0.116131
-0.580630, -0.116104
-0.588312, -0.116076
-0.587992, -0.116049
-0.579674, -0.116022
-0.581358, -0.115994
-0.583041, -0.115967
-0.582724, -0.115940
-0.582406, -0.115912
-0.583089, -0.115885
-0.584771, -0.115858
-0.585452, -0.115830
-0.585133, -0.115803
-0.584814, -0.114776
-0.584496, -0.114749
-0.584177, -0.114722
-0.584859, -0.114696
-0.584540, -0.114669
-0.583222, -0.114642
-0.581904, -0.113615
-0.582586, -0.113589
-0.584268, -0.115562
-0.583949, -0.119534
-0.583631, -0.120504
-0.586312, -0.123474
-0.591990, -0.124442
-0.593667, -0.123410
-0.595343, -0.123379
-0.596018, -0.122348
-0.596693, -0.122317
-0.597368, -0.123286
-0.598042, -0.123254
-0.599716, -0.123223
-0.602388, -0.123192
-0.604060, -0.123160
-0.603731, -0.124128
-0.603402, -0.124096
-0.604073, -0.125064
-0.605743, -0.125032
-0.607413, -0.125000
-0.607082, -0.124967
-0.606751, -0.124935
-0.606421, -0.125902
-0.608090, -0.125869
-0.609758, -0.124836
-0.610426, -0.124804
-0.612093, -0.124772
-0.611759, -0.124739
-0.611426, -0.126706
-0.612093, -0.126673
-0.612759, -0.126639
-0.613425, -0.127606
-0.614090, -0.128572
-0.615755, -0.129537
-0.616419, -0.130502
-0.616084, -0.130466
-0.615748, -0.130431
-0.617412, -0.132395
-0.619075, -0.133358
-0.619737, -0.133321
-0.621399, -0.133284
-0.622061, -0.133247
-0.622721, -0.133210
-0.625381, -0.132173
-0.627040, -0.132136
-0.627699, -0.132100
-0.627357, -0.132063
-0.627015, -0.133027
-0.626674, -0.133989
-0.626332, -0.133952
-0.627990, -0.133914
-0.627648, -0.133877
-0.628306, -0.132840
-0.629963, -0.132803
-0.630620, -0.132766
-0.631276, -0.132728
-0.629932, -0.132691
-0.628589, -0.132654
-0.629246, -0.132617
